run_id,generation,wikitext2_ppl,train_ppl,train_fitness
depth_mistral7b_s0.375_g20_seed1_retry1,1,277.25,2.67e+02,3.31e+00
depth_mistral7b_s0.375_g20_seed1_retry1,2,208.50,1.93e+02,3.45e+00
depth_mistral7b_s0.375_g20_seed1_retry1,3,167.50,1.55e+02,3.71e+00
depth_mistral7b_s0.375_g20_seed1_retry1,4,137.75,1.25e+02,3.56e+00
depth_mistral7b_s0.375_g20_seed1_retry1,5,80.69,7.46e+01,2.48e+00
depth_mistral7b_s0.375_g20_seed1_retry1,6,68.50,6.33e+01,2.66e+00
depth_mistral7b_s0.375_g20_seed1_retry1,7,69.31,6.46e+01,2.42e+00
depth_mistral7b_s0.375_g20_seed1_retry1,8,59.28,5.50e+01,2.68e+00
depth_mistral7b_s0.375_g20_seed1_retry1,9,62.34,5.77e+01,2.68e+00
depth_mistral7b_s0.375_g20_seed1_retry1,10,51.69,4.82e+01,2.06e+00
depth_mistral7b_s0.375_g20_seed1_retry1,11,51.69,4.82e+01,2.52e+00
depth_mistral7b_s0.375_g20_seed1_retry1,12,42.78,4.30e+01,1.83e+00
depth_mistral7b_s0.375_g20_seed1_retry1,13,42.78,4.30e+01,2.42e+00
depth_mistral7b_s0.375_g20_seed1_retry1,14,37.16,3.64e+01,1.92e+00
depth_mistral7b_s0.375_g20_seed1_retry1,15,33.78,3.21e+01,1.56e+00
depth_mistral7b_s0.375_g20_seed1_retry1,16,26.41,2.54e+01,1.39e+00
depth_mistral7b_s0.375_g20_seed1_retry1,17,26.41,2.54e+01,1.39e+00
depth_mistral7b_s0.375_g20_seed1_retry1,18,26.77,2.54e+01,1.74e+00
depth_mistral7b_s0.375_g20_seed1_retry1,19,26.00,2.45e+01,1.73e+00
depth_mistral7b_s0.375_g20_seed1_retry1,20,26.00,2.45e+01,1.73e+00
