run_id,phase,generation,train_fitness,selection_train_fitness,wikitext2_ppl,train_ppl,search_point
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,1,inf,1.21e-02,9.02,9.84,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,2,1.21e-02,6.33e-03,9.02,9.84,"[0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,3,6.33e-03,8.61e-03,9.04,9.84,"[0,0,1,0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,4,8.61e-03,1.08e-02,9.04,9.84,"[0,1,1,0,1,-1,0,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,5,1.08e-02,7.78e-03,9.02,9.84,"[1,1,0,-1,1,-1,-1,0,0,0,0,0,1,0,-1,0,-1,0,0,0,1,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,6,7.78e-03,1.00e-02,9.02,9.87,"[1,2,0,-1,1,-2,-1,0,0,0,0,-1,1,1,-1,0,-1,0,0,0,1,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,7,1.00e-02,8.26e-03,9.00,9.84,"[1,3,0,-1,1,-2,-1,0,0,0,-1,-1,1,1,-1,0,-1,0,0,0,1,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,8,8.26e-03,7.93e-03,9.00,9.84,"[2,3,0,-1,1,-2,-1,0,0,0,-1,-1,1,1,-1,-1,-1,1,0,-1,1,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,9,7.93e-03,9.69e-03,9.00,9.87,"[3,3,0,-2,2,-2,-1,0,-1,0,-1,0,1,1,-1,-1,-1,1,0,-1,0,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,10,9.69e-03,9.45e-03,9.00,9.87,"[3,3,0,-2,2,-2,-1,0,-1,-1,-1,0,2,1,-1,-1,-1,1,0,-1,0,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,11,9.45e-03,7.39e-03,9.00,9.87,"[3,3,0,-2,2,-2,-1,-1,-1,-1,-1,0,3,1,-1,-1,-1,1,0,-1,0,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,12,7.39e-03,7.19e-03,9.00,9.84,"[3,3,0,-1,1,-2,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,0,-1,0,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,13,7.19e-03,9.54e-03,9.00,9.84,"[3,3,0,-1,1,-2,-1,-1,-2,-1,-1,-1,3,1,-1,-1,-1,2,0,0,0,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,14,9.54e-03,7.55e-03,9.00,9.84,"[3,3,0,-1,1,-2,-1,-1,-2,-1,-2,-1,3,1,-1,0,-1,2,0,0,0,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,15,7.55e-03,7.26e-03,9.00,9.84,"[3,3,0,-1,1,-2,-1,-1,-2,-1,-1,-1,3,1,-1,0,-1,2,0,0,-1,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,16,7.26e-03,6.95e-03,9.00,9.84,"[3,3,0,-1,1,-2,-1,-1,-1,-1,-2,-1,3,0,-1,1,-1,2,0,0,-1,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,17,6.95e-03,9.00e-03,9.00,9.83,"[3,3,0,-2,1,-2,-1,-1,-1,-1,-2,-1,3,0,-1,2,-1,2,0,0,-1,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,18,9.00e-03,6.77e-03,9.00,9.83,"[3,3,0,-2,1,-2,-1,-1,-1,-1,-2,-1,3,0,-1,2,-1,2,0,0,-1,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,19,6.77e-03,6.77e-03,9.00,9.83,"[3,3,0,-2,1,-2,-1,-1,-1,-1,-2,-1,3,0,-1,2,-1,1,0,1,-1,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,generation,20,6.77e-03,6.82e-03,9.00,9.83,"[3,3,0,-2,1,-2,-1,-1,-1,-1,-2,-1,3,0,-1,2,-1,1,0,1,-1,0]"
sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,final,,,,9.00,9.83,"[3,3,0,-2,1,-2,-1,-1,-1,-1,-2,-1,3,0,-1,2,-1,0,0,1,-1,1]"
